ResourceID,Name
309d9bef-ce25-437f-88dc-df72eedc2109,Directorate General of Antiquities
30a8e090-7f55-4a7f-9d20-a7af6fe76b0f,G. Hoffmann
30ade53f-b5e6-4b5f-8988-0dc90fd51402,G. Palumbo
30ade53f-b5e6-4b5f-8988-0dc90fd51402,"Palumbo, G."
30ce0571-49f8-48ef-85fa-08194d8420fb,"Bossut, P."
30d428ee-81aa-4a34-9817-2f871bc61c89,"Deschamps, P."
30dde743-2cc4-4a38-b1b9-5f5665ff2bfc,"Adams (1981, 1972)"
313c88f0-3581-4731-a730-11b71a561150,"Crawford, H"
313e891c-306c-42b8-93cc-47add3308b04,"Zimmerman, P.C."
313f400f-cbed-457a-bdd4-99cce263eed8,"Henry, D. O."
3190b4c5-4e09-4513-bf85-e39612439a25,"Thébert, Y."
31ebe502-eaae-4de3-97d4-e51bdf53c163,"Clarke, G. W."
322cbe0f-7423-4308-90fa-368e20e31637,"Piccirillo, M."
3238903e-c5a4-4e63-ba25-beaef9c01812,"Caputo, G."
323c44c8-c0be-49dc-81d9-cf546120ee07,"Edwards, S."
323f6edd-543a-450b-8625-089f2ac44450,"Seigne, J."
3241f7b3-fecc-43f5-88ef-1d70a9440f89,"Abu Jayyab, K."
326a743e-8680-49bf-b7c5-5fcc3abe72af,"Janetski, J.C."
329dfc81-d447-4fdb-8b8d-eff2e7e1e3f1,French Archaeological Mission in the Jawf-Hadramawt - Makaynūn 2003
32b49c56-1317-4dce-9ad4-e3749943c904,Manel Chaari
32e72853-7696-404b-ac41-3ae46f575b21,"Zaid, Zaydoon"
33036b6d-95d4-485f-9b35-3ce3375f5fa9,"Buffa, Vittoria"
33141baa-8cd2-48a6-a518-fbda7cad004d,"Neville, M.J."
332791f3-51c9-4932-93e9-b656c08c1854,"Marti, K."
33737248-af48-4f88-a072-005454a56e20,"White, J. J."
337b91f8-db6c-48e2-b128-4ab1d9a36397,"Shahid, I."
33a3901e-ba5e-47e9-a45f-b7168fe84330,"Serjeant, R.B."
340960cd-fe60-456d-aeb3-fd929b54f314,Ayob Hesen
34379d15-f69d-4529-8d53-622582108464,"Ajlouni, F."
34567a49-29ab-495f-ac1a-c6c4ef5097e2,"Palmer, C."
347b8ad9-d9bb-45db-8d25-cf5c3ac5bca9,V. Blin
34bd71bd-e19d-47f3-9399-9dcf6703d440,"Perowne, S."
34c37ad5-e2a2-4152-bdca-42ba6ff619f8,"Daly, P."
34c622bb-6e71-496c-99b5-9679c07b7d65,Francesca Radcliffe
34d49b1d-35ae-4dc4-8086-810e0d31d459,Henry T. Wright
34f3bf58-aa14-4ab1-8d2f-52ceb9dd131a,DGAM Experts Team
351b56f1-628c-429c-bbcd-3deec068423c,Julia Nikolaus
359030cc-e717-404a-bc21-446cd8da544e,"Danti, M"
35cd1ef8-b9b6-46c0-a328-47ab40a56dc1,"Torró, J."
35df4787-539a-420a-9149-b1f6e21feb71,"al-Garoo, A."
35e3b6ed-c9b3-4565-aa95-fe50b7c65ecb,"Dalton, M.N."
35f297a4-2d64-4fc8-97e9-76ccc2aa510a,DEIMOS Imaging
35f34ba6-f345-4323-8370-adeaf46d17b2,Fiema 2012
361c056b-17de-4579-b6c3-8e02126d6320,"Demange, F."
365f9992-93d8-44c8-ad08-a57784ab158c,Malihah Chamany
